Date,Open,High,Low,Close,Adj Close,Volume
2009-04-23,4.522143,4.542857,4.411071,4.478571,3.796393,945156800
2009-04-24,4.451429,4.469286,4.391786,4.425000,3.750983,540764000
2009-04-27,4.389286,4.464286,4.380714,4.454643,3.776110,480690000
2009-04-28,4.405357,4.507500,4.402143,4.425000,3.750983,455856800
2009-04-29,4.458929,4.530357,4.422500,4.469286,3.788524,458110800
2009-04-30,4.507857,4.535714,4.461429,4.493929,3.809411,498489600
2009-05-01,4.492857,4.569643,4.492857,4.544286,3.852099,397516000
2009-05-04,4.580000,4.723214,4.560000,4.716786,3.998324,609358400
2009-05-05,4.705357,4.745000,4.682857,4.739643,4.017699,398255200
2009-05-06,4.761786,4.767857,4.650714,4.732143,4.011344,473538800
2009-05-07,4.726071,4.728214,4.567857,4.609286,3.907197,531776000
2009-05-08,4.608571,4.686786,4.509286,4.613929,3.911134,467964000
2009-05-11,4.548929,4.677143,4.540000,4.627500,3.922640,404658800
2009-05-12,4.627143,4.632500,4.401786,4.443571,3.766725,609481600
2009-05-13,4.400357,4.429286,4.263571,4.267500,3.617473,595971600
2009-05-14,4.277857,4.411786,4.275000,4.391071,3.722222,447826400
2009-05-15,4.368571,4.450714,4.343214,4.372143,3.706176,367567200
2009-05-18,4.418929,4.525000,4.341786,4.523214,3.834239,458841600
2009-05-19,4.529286,4.618214,4.490714,4.551786,3.858457,372422400
2009-05-20,4.558214,4.614643,4.475000,4.495357,3.810624,388584000
2009-05-21,4.469643,4.527857,4.388929,4.435000,3.759461,407946000
2009-05-22,4.430357,4.435000,4.348214,4.375000,3.708599,297998400
2009-05-26,4.455714,4.672500,4.448214,4.670714,3.959270,636927200
2009-05-27,4.706429,4.820714,4.675357,4.751786,4.027993,646422000
2009-05-28,4.766071,4.835357,4.715357,4.823929,4.089148,487552800
2009-05-29,4.835357,4.853571,4.780357,4.850357,4.111550,456534400
2009-06-01,4.873929,4.999643,4.857143,4.976786,4.218720,452499600
2009-06-02,4.963929,5.047857,4.941071,4.981786,4.222960,456223600
2009-06-03,5.000000,5.039643,4.966786,5.033929,4.267159,565199600
2009-06-04,5.004643,5.149286,5.001429,5.133571,4.351624,550634000
2009-06-05,5.189643,5.228571,5.114643,5.166786,4.379781,632716000
2009-06-08,5.136429,5.151071,4.979643,5.137500,4.354955,931652400
2009-06-09,5.136071,5.162857,5.019643,5.097143,4.320745,676964400
2009-06-10,5.081429,5.083929,4.939286,5.008929,4.245966,688623600
2009-06-11,4.983929,5.055714,4.948214,4.998214,4.236886,524823600
2009-06-12,4.957500,4.967857,4.858571,4.891786,4.146668,563085600
2009-06-15,4.857500,4.890357,4.817500,4.860357,4.120027,539750400
2009-06-16,4.880714,4.945357,4.860714,4.869643,4.127898,514805200
2009-06-17,4.881071,4.908929,4.804643,4.842143,4.104588,571412800
2009-06-18,4.861071,4.928571,4.842500,4.852857,4.113669,427680400
2009-06-19,4.931071,4.982143,4.889286,4.981429,4.222656,721856800
2009-06-22,5.023929,5.055714,4.868929,4.906071,4.158776,634914000
2009-06-23,4.871429,4.891071,4.745714,4.786071,4.057056,706532400
2009-06-24,4.836429,4.910714,4.816429,4.865000,4.123963,485525600
2009-06-25,4.848214,5.007143,4.828929,4.995000,4.234160,589447600
2009-06-26,4.992500,5.127143,4.990714,5.087143,4.312269,439384400
2009-06-29,5.123571,5.141071,5.055000,5.070357,4.298038,567616000
2009-06-30,5.092143,5.135714,5.064286,5.086786,4.311965,434224000
